127.0.0.1, 2014-06-23 22:48:02, GET, /, HTTP/1.1, 303, 0.001462
127.0.0.1, 2014-06-23 22:48:02, GET, /welcome/default/index, HTTP/1.1, 200, 0.038261
127.0.0.1, 2014-06-23 22:48:06, GET, /welcome/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000556
127.0.0.1, 2014-06-23 22:48:08, GET, /welcome/static/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000583
127.0.0.1, 2014-06-23 22:48:11, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.057737
127.0.0.1, 2014-06-23 22:48:18, GET, /welcome/default/user/request_reset_password, HTTP/1.1, 200, 0.064875
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.081857
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/static/_2.9.5/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000616
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/static/_2.9.5/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.000452
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/static/_2.9.5/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.000469
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/static/_2.9.5/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000474
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/static/_2.9.5/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.000512
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/static/_2.9.5/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000499
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/static/_2.9.5/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000589
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/static/_2.9.5/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.000555
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/static/_2.9.5/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.000645
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/static/_2.9.5/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.000574
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/static/_2.9.5/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000441
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/static/_2.9.5/css/web2py-codemirror.css, HTTP/1.1, 200, 0.002097
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/static/_2.9.5/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.004473
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/static/_2.9.5/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.001189
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/static/_2.9.5/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.004135
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/static/_2.9.5/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000585
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/static/_2.9.5/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000877
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/static/_2.9.5/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000536
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/static/_2.9.5/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000493
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/static/_2.9.5/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.000451
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/static/_2.9.5/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.000431
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/static/_2.9.5/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.000550
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/static/_2.9.5/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.000560
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/static/_2.9.5/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.000499
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/static/_2.9.5/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.004743
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/static/_2.9.5/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.000536
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/static/_2.9.5/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.004457
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/static/_2.9.5/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.000555
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/static/_2.9.5/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.000595
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/static/_2.9.5/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000649
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/static/_2.9.5/js/ajax_editor.js, HTTP/1.1, 200, 0.000507
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/static/_2.9.5/js/typeahead.min.js, HTTP/1.1, 200, 0.000464
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/static/_2.9.5/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.001710
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/static/_2.9.5/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000431
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/static/_2.9.5/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.007363
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/static/_2.9.5/images/files_toggle.png, HTTP/1.1, 200, 0.001133
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/static/_2.9.5/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.001546
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.101081
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.049180
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.000537
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.137299
127.0.0.1, 2014-06-23 22:50:33, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.191489
127.0.0.1, 2014-06-23 22:50:34, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.216640
127.0.0.1, 2014-06-23 22:50:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000354
127.0.0.1, 2014-06-23 22:51:33, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.048363
127.0.0.1, 2014-06-23 22:52:33, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.047771
127.0.0.1, 2014-06-23 22:53:33, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.043772
127.0.0.1, 2014-06-23 22:54:33, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.043748
127.0.0.1, 2014-06-23 22:55:33, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.046385
127.0.0.1, 2014-06-23 22:55:51, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.048542
127.0.0.1, 2014-06-23 22:55:51, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.015011
127.0.0.1, 2014-06-23 22:56:33, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.045352
127.0.0.1, 2014-06-23 22:57:06, GET, /admin/default/site, HTTP/1.1, 200, 0.078463
127.0.0.1, 2014-06-23 22:57:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000362
127.0.0.1, 2014-06-23 22:57:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000369
127.0.0.1, 2014-06-23 22:57:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000296
